ids,en,de
0,Resumption of the session,Wiederaufnahme der Sitzungsperiode
1,"I declare resumed the session of the European Parliament adjourned on Thursday , 28 March 1996 .","Ich erkläre die am Donnerstag , den 28. März 1996 unterbrochene Sitzungsperiode des Europäischen Parlaments für wiederaufgenommen ."
2,Welcome,Begrüßung
3,I bid you a warm welcome !,Herzlich willkommen !
4,Approval of the Minutes,Genehmigung des Protokolls
5,"The Minutes of the sitting of Thursday , 28 March 1996 have been distributed .","Das Protokoll der Sitzung vom Donnerstag , den 28. März 1996 wurde verteilt ."
6,Are there any comments ?,Gibt es Einwände ?
7,Points 16 and 17 now contradict one another whereas the voting showed otherwise .,"Die Punkte 16 und 17 widersprechen sich jetzt , obwohl es bei der Abstimmung anders aussah ."
8,I shall be passing on to you some comments which you could perhaps take up with regard to the voting .,"Ich werde Ihnen die entsprechenden Anmerkungen aushändigen , damit Sie das eventuell bei der Abstimmung übernehmen können ."
9,"I will have to look into that , Mrs Oomen-Ruijten .","Das muß ich erst einmal klären , Frau Oomen-Ruijten ."
10,I cannot say anything at this stage .,Das kann ich so aus dem Stand nicht sagen .
11,We will consider the matter .,Wir werden das überprüfen .
12,"Mr President , it concerns the speech made last week by Mr Fischler on BSE and reported in the Minutes .","Es geht um die Erklärung von Herrn Fischler zu BSE , die im Protokoll festgehalten wurde ."
13,Perhaps the Commission or you could clarify a point for me .,Vielleicht könnten die Kommission oder Sie mir einen Punkt erläutern .
14,It would appear that a speech made at the weekend by Mr Fischler indicates a change of his position .,Offensichtlich bedeutet die Erklärung von Herrn Fischler vom Wochenende eine Änderung der Haltung der Kommission .
15,I welcome this change because he has said that he will eat British beef and that the ban was imposed specifically for economic and political reasons .,"Ich begrüße diese Änderung , denn er sagte , daß er britisches Rindfleisch essen würde und daß das Einfuhrverbot insbesondere aus wirtschaftlichen und politischen Gründen verhängt wurde ."
16,"Could somebody clarify that he has actually said this please , Mr President , because it is a change of views .","Herr Präsident , könnte festgestellt werden , ob er das tatsächlich gesagt hat , denn das würde eine Änderung der Haltung der Kommission bedeuten ."
17,"Mr Sturdy , I cannot see what that has to do with the Minutes .","Herr Kollege , ich kann nicht erkennen , was das mit dem Protokoll zu tun hat ."
18,"Mr President , on exactly the same point as Mr Sturdy has raised .","Herr Präsident , zum gleichen Punkt , den auch Herr Sturdy angesprochen hat ."
19,"If Commission Fischler has made this statement , then he has said that it is not a matter of public health .","Wenn Herr Kommissar Fischler diese Erklärung abgegeben hat , dann bedeutet dies , daß es sich nicht um eine Angelegenheit der öffentlichen Gesundheit handelt ."
20,"Mr Smith , the same applies to your point ; it has nothing to do with the Minutes .","Herr Smith , für Sie gilt die gleiche Erkenntnis , nämlich daß das nichts mit dem Protokoll zu tun hat ."
21,"Mr President , again on BSE .","Herr Präsident , nochmals zur BSE ."
22,If Mr Fischler has changed his views does this mean the Commission has ?,"Wenn Herr Fischler seine Meinung geändert hat , bedeutet dies dann auch eine Änderung der Haltung der Kommission ?"
23,This was actually referred to in the Minutes .,Dies war im Protokoll nachzulesen .
24,He said that any funding would also go towards supporting workers who had directly lost their jobs .,"Er sagte auch , daß Beihilfen für Arbeitnehmer bereitgestellt würden , die ihre Arbeitsplätze dadurch verloren haben ."
25,So far nothing has come of this in any scheme that has been put forward .,Das ist in keinem der vorgeschlagenen Programme enthalten .
26,Does this mean the Commission has changed its view on supporting workers who have lost their jobs through this scare ?,"Bedeutet dies eine Änderung der Haltung der Kommission hinsichtlich der Unterstützung der Arbeitnehmer , die ihre Arbeitsplätze durch diesen Skandal verloren haben ?"
27,I note that there are no comments on the Minutes .,"Ich stelle fest , daß es keine Einwände zum Protokoll gibt ."
28,( Parliament approved the Minutes ),( Das Parlament genehmigt das Protokoll . )
29,Now that is clearly a fraud on the French taxpayer as well as a fraud on the European citizens .,Es handelt sich um einen eindeutigen Betrug der französischen Steuerzahler und der Bürger Europas .
30,Can we ask the Bureau to look into this fact .,"Wir fordern das Präsidium auf , sich mit dieser Angelegenheit zu befassen ."
31,Can we ask you as President to make sure that is happening with the taxpayers ' money for which we are collectively responsible .,"Herr Präsident , wir ersuchen Sie sicherzustellen , daß Steuergelder nicht verschwendet werden , für die wir gemeinsam verantwortlich sind ."
32,"Mr Tomlinson , would you please give me the documents concerned .","Herr Kollege , geben Sie mit bitte diese Unterlagen ."
33,"Then I will look into the matter , both in the presidency and with the other organizations in question .","Ich werde der Sache dann nachgehen , und zwar sowohl im Präsidium als auch bei den anderen in Frage kommenden Organisationen ."
